#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E38D
#Date Time: 2025-04-07 17:06:28.436
#Sample rate: 400000Hz
#Samples: 4096

Time (s),Bus,DIO  6,DIO  5,DIO  4,DIO  3,DIO  2,DIO  1,DIO  0
-0.0011425,0,0,0,0,0,0,0,0
-0.00114,0,0,0,0,0,0,0,0
-0.0011375,0,0,0,0,0,0,0,0
-0.001135,0,0,0,0,0,0,0,0
-0.0011325,0,0,0,0,0,0,0,0
-0.00113,0,0,0,0,0,0,0,0
-0.0011275,0,0,0,0,0,0,0,0
-0.001125,0,0,0,0,0,0,0,0
-0.0011225,0,0,0,0,0,0,0,0
-0.00112,0,0,0,0,0,0,0,0
-0.0011175,0,0,0,0,0,0,0,0
-0.001115,0,0,0,0,0,0,0,0
-0.0011125,0,0,0,0,0,0,0,0
-0.00111,0,0,0,0,0,0,0,0
-0.0011075,0,0,0,0,0,0,0,0
-0.001105,0,0,0,0,0,0,0,0
-0.0011025,0,0,0,0,0,0,0,0
-0.0011,0,0,0,0,0,0,0,0
-0.0010975,0,0,0,0,0,0,0,0
-0.001095,0,0,0,0,0,0,0,0
-0.0010925,0,0,0,0,0,0,0,0
-0.00109,0,0,0,0,0,0,0,0
-0.0010875,0,0,0,0,0,0,0,0
-0.001085,0,0,0,0,0,0,0,0
-0.0010825,0,0,0,0,0,0,0,0
-0.00108,0,0,0,0,0,0,0,0
-0.0010775,0,0,0,0,0,0,0,0
-0.001075,0,0,0,0,0,0,0,0
-0.0010725,0,0,0,0,0,0,0,0
-0.00107,0,0,0,0,0,0,0,0
-0.0010675,0,0,0,0,0,0,0,0
-0.001065,0,0,0,0,0,0,0,0
-0.0010625,0,0,0,0,0,0,0,0
-0.00106,0,0,0,0,0,0,0,0
-0.0010575,0,0,0,0,0,0,0,0
-0.001055,0,0,0,0,0,0,0,0
-0.0010525,0,0,0,0,0,0,0,0
-0.00105,0,0,0,0,0,0,0,0
-0.0010475,0,0,0,0,0,0,0,0
-0.001045,0,0,0,0,0,0,0,0
-0.0010425,0,0,0,0,0,0,0,0
-0.00104,0,0,0,0,0,0,0,0
-0.0010375,0,0,0,0,0,0,0,0
-0.001035,0,0,0,0,0,0,0,0
-0.0010325,0,0,0,0,0,0,0,0
-0.00103,0,0,0,0,0,0,0,0
-0.0010275,0,0,0,0,0,0,0,0
-0.001025,0,0,0,0,0,0,0,0
-0.0010225,0,0,0,0,0,0,0,0
-0.00102,0,0,0,0,0,0,0,0
-0.0010175,0,0,0,0,0,0,0,0
-0.001015,0,0,0,0,0,0,0,0
-0.0010125,0,0,0,0,0,0,0,0
